customer_id,customer_name,email,signup_date,country,region,industry,acquisition_channel
CUST006160,Lisa Flores,aguilarrandall@example.net,2024-12-27,UAE,Minnesota,Technology,PPC
CUST005378,  Nicole Villarreal  ,dward@example.org,,england,Delaware,Technology,DISPLAY
CUST004299,Jerry Wu,brettbarrera@example.net,12-01-2023,UAE,Maryland,Retail,Partner
CUST008391,Alisha Montes,jhernandez@example.net,2026-07-03,singapore,South Dakota,Manufacturing,Paid-Search
CUST007540,Nicholas Bartlett Jr.,patriciajackson@example.net,2026-05-30,France,,Retail,Organic Search
CUST005587,Cory Pitts,lisacollins@example.net,06/02/2023,AUS,Pennsylvania,Logistics,DISPLAY
CUST002836,Matthew Stewart,ddavis@example.com,2025-05-05,canada,New York,,Social
CUST002719,  Christopher Howard  ,moorenicholas@example.net,2025-02-13,United Arab Emirates,Michigan,Education,Banner
CUST004154,Christopher Wilson,jason85@example.org,01/29/2025,singapore,Alaska,Media,E-mail
CUST003141,Austin Nielsen,,30-04-2024,U.A.E,Alabama,Technology,paid search
CUST005722,Melissa Rocha,vholland@example.org,08-10-2023,CA ,Rhode Island,Logistics,Display
CUST002661,Peggy Harrison,davidharris@example.net,28-09-2023,australia,Wisconsin,Hospitality,display
CUST000591,Alison Compton,,27-09-2023,United States,Colorado,Logistics,Affiliate
CUST008436,James Wilcox,allenryan@example.net,09/27/2025,singapore,Tennessee,Hospitality,social
CUST009463,Lisa Campbell,crawfordsamuel@example.com,03-10-2025,AUS,Washington,Real Estate,  Paid Search  
CUST006988,William Arellano,jasonlucas@example.org,26-09-2024,FR,Tennessee,Media,AFFILIATE
CUST009546,  Nicole Thornton  ,christina41@example.net,02/11/2026,U.A.E,Minnesota,Media,EMAIL
CUST006906,Jessica Burns,rodriguezheather@example.net,2026-02-14,   India  ,Hawaii,Media,Google Ads
CUST007776,William Beltran,tamara68@example.org,2025-03-18,United states,South Carolina,Finance,  SOCIAL  
CUST004096,Peter Smith,kristinaking@example.net,07/21/2024,Australia,Connecticut,,Organic Search
CUST002819,Benjamin Chavez,wthompson@example.com,20-02-2023,BR,South Carolina,Finance,SOCIAL
CUST009945,Richard Franklin,mdavid@example.com,23-10-2025,Germany,Utah,Real Estate,Affliate
CUST003069,Sarah Lopez,bryantpeter@example.org,2026-07-31,SG,Wisconsin,,AFFILIATE
CUST006303,Cathy Davis,joshua24@example.org,2025-07-11, India,Colorado,Media,Instagram
CUST000850,Mr. Rodney Hurley III,umichael@example.net,10-09-2025,Brazil,Arkansas,Finance,Partner
CUST004851,Jennifer Cunningham,matthewhaynes@example.net,2024-02-22,AUS,,Hospitality,  referral  
CUST004359,Rebekah Ho,dawnmerritt@example.org,2025-09-15,CA ,,Real Estate,Display
CUST005167,Alicia Jones,krista46@example.com,2024-11-19,england,,Logistics,Paid-Search
CUST008889,Gregory Woodward,ebryant@example.org,2024-02-09,Australia,Georgia,Finance,referral
CUST003010,Philip Combs,pmay@example.org,2023-02-25,Brazil,Georgia,Finance,Display Ads
CUST000090,Mark Brown,lisaavery@example.org,,australia,Kansas,Media,social
CUST003922,Dawn Sweeney,vincentdavis@example.com,2026-01-28,Canada,Alaska,Logistics,Organic
CUST004142,Jennifer Davidson,tannerlori@example.com,10-04-2026,canada,Arizona,Education,social
CUST004293,Jeffrey Blake,andrea79@example.org,2023-06-17,DE,Texas,,Affiliate
CUST004366,Gabriel Frank,donna30@example.com,2026-06-26,brazil,Kansas,Hospitality,Paid-Search
CUST006457,Kathleen Simpson,amber21@example.net,2023-03-31,Singapore,Michigan,Media,Referal
CUST008099,Christie Shelton,xburnett@example.com,09-07-2023,germany,New Jersey,Retail,Display
CUST001143,Nathan Morales,garciatravis@example.org,2024-06-19,canada,North Dakota,Media,PPC
CUST005718,Heather Russell,corey91@example.org,2023-06-28,Singapore,,Manufacturing,Social
CUST005831,Lindsey Turner,,2023-09-19,CA ,Washington,Manufacturing,paid search
CUST002728,James Jones,corywatson@example.net,2025-05-25,AUS,Montana,Logistics,SOCIAL
CUST005012,Daniel Carter,monicatorres@example.com,2025-12-01,germany,Wyoming,Healthcare,Google Ads
CUST007251,Heather Sullivan,jacob60@example.com,23 Dec 2025,France,South Dakota,Hospitality,Affiliate
CUST006405,William Crawford,wongjordan@example.org,24-02-2026,Brazil,Utah,Finance,Affliate
CUST009184,CAROL HERMAN,evilla@example.com,05/21/2025,france,Hawaii,Logistics,Display Ads
CUST003043,Angela Contreras,dawnpark@example.com,27-05-2026,england,,Manufacturing,PAID SEARCH
CUST005544,Jessica Harris,anne18@example.org,2025-12-07,brazil,Illinois,,Display Ads
CUST009351,David Gonzalez ,,2023-06-12,brazil,Alabama,Healthcare,Partner
CUST004889,  David Ryan  ,draketheodore@example.org,2024-10-29,USA,Kentucky,Logistics,Affiliate
CUST003207,Brandon Pena,stevemorales@example.net,2024-10-11,india,Hawaii,Hospitality,  Partner  
CUST001166,Melissa Anderson,sosabruce@example.net,2023-10-16,BR,Illinois,Technology,Organic Search
CUST006734,Derek Kirby,stephensstephanie@example.net,2026-02-11,BR,Washington,Logistics,ORGANIC
CUST001686,Jill Price,matthew62@example.net,10 Dec 2025,SG,North Dakota,Technology,Email
CUST007860,Joseph Villa,josephreese@example.org,08/14/2024,Canada,Iowa,Media,Partner
CUST002368,  Robin Perez  ,patriciamorrison@example.org,25-09-2023,canada,Alabama,Education,Referal
CUST001138,Lisa Oconnell,gregoryrichardson@example.org,09/17/2024,australia,North Carolina,Hospitality,Display Ads
CUST004213,Kathryn Hickman,njenkins@example.org,,australia,,Healthcare,social
CUST007833,Brittany Meyers,brenda03@example.org,,SG,Georgia,Media,Organic
CUST008542,Angela Henry,robertfisher@example.com,25-03-2024,germany,Hawaii,Retail,affiliate
CUST004932,  Justin Davis  ,stanleygregory@example.net,2023-11-16,DE,Iowa,Education,DISPLAY
CUST004898,Albert Miller,eharrison@example.net,20-07-2024,canada,Wisconsin,Media,Organic Search
CUST009530,Nicole Jackson,greenlance@example.com,2025-02-10,Canada,Arizona,,social
CUST004796,Margaret Nicholson,angela32@example.net,2023-09-17,france,Tennessee,Media,AFFILIATE
CUST006383,Stacey Alvarez,ofrederick@example.com,01/05/2026,INDIA,Utah,Media,Referral
CUST003622,Eric Jordan,elizabeth56@example.org,2023-07-17,brazil,Maryland,Hospitality,social
CUST009933,Matthew Chan,theodoreadams@example.org,2024-06-02,Brazil,Maryland,Hospitality,referral
CUST002948,Maria Maldonado,christopher81@example.com,2024-06-30,singapore,,Logistics,Display
CUST001941,Erin Norris,abradley@example.com,20-02-2023,Singapore,Illinois,Hospitality,social
CUST008869,Dr. Kelly Martinez MD,santoswilliam@example.org,12/24/2025,DE,Texas,Logistics,SEO
CUST009891,Blake Taylor,bsoto@example.com,2025-11-11,india,Mississippi,Education,Google Ads
CUST004544,  Daniel Hebert  ,lisafoster@example.net,2023-10-12,U.A.E,Indiana,Hospitality,Google Ads
CUST003005,Michael Roberts,justin77@example.net,09-04-2025,U.A.E,Nevada,,display
CUST000521,Reginald Diaz,patricialawrence@example.com,2026-02-01,USA,Florida,Real Estate,Affiliate
CUST009487,Michael Trevino,westjesse@example.com,12-10-2025,UK,Oklahoma,Real Estate,paid search
CUST006350,Donald Brown,cortezeric@example.org,2025-10-21,canada,Maryland,Hospitality,Paid-Search
CUST007469,William Hernandez,jennifergarcia@example.net,2024-08-04,CA ,Illinois,Education,Referal
CUST003704,Micheal Adams,dmckay@example.org,2025-01-20,U.A.E,,Real Estate,email
CUST001921,Deborah Garza,christopherjackson@example.net,2023-01-16,France,Oregon,,E-mail
CUST004187,Jared Williams,ginagross@example.net,2025-04-22,U.K.,Indiana,Media,organic
CUST000116,Olivia Brennan,williamsonjimmy@example.net,2025-07-11,france,Maine,Healthcare,Partner
CUST009847,Kristin Gomez,jefferybeck@example.com,,France,North Carolina,Healthcare,organic
CUST004786,Mary Parsons,qgallagher@example.com,2026-03-26,USA,Oregon,Real Estate,Paid-Search
CUST007119,Kathleen Diaz,sperez@example.org,2026-06-09,Germany,,Technology,Facebook Ads
CUST009109,  Monica Arroyo  ,tiffanybailey@example.org,07/29/2024,AUS,,Real Estate,DISPLAY
CUST005468,Mike Green,petersangela@example.org,2025-04-10,United States,California,Logistics,Organic Search
CUST000021,Jennifer Powers,samuel87@example.org,2026-07-23,U.A.E,Kansas,,Paid Search
CUST000504,Joe Rivera,jonesgregory@example.com,2025-12-07,Canada,Oklahoma,Retail,Affiliate
CUST008974,  Megan Johns  ,rebeccamartin@example.com,2023-03-04,FR,Alabama,Manufacturing,Affiliate
CUST001860,Jessica Sharp,douglas31@example.net,2024-03-14,germany,,Healthcare,Display Ads
CUST006526,Sylvia Williams,yfuller@example.com,02-07-2025,BR,Arkansas,Finance,display
CUST009741,Sarah Kane,zunigadanielle@example.net,2023-04-29,U.K.,New Jersey,Manufacturing,SEO
CUST006724,Gerald Cook,hernandezmichael@example.net,2023-05-31,CA ,New York,Education,Referral
CUST006470,Aimee Griffith ,,2024-01-25,UAE,North Carolina,Real Estate,Affliate
CUST006684,Timothy Thompson,carolyn15@example.org,2024-01-30,brazil,Mississippi,Retail,AFFILIATE
CUST005750,Debra Meyers,smithmatthew@example.net,07/31/2024, India,Oklahoma,Healthcare,Email Marketing
CUST003118,Matthew Robles,moorejohn@example.net,05/27/2026,U.K.,Delaware,Manufacturing,Instagram
CUST002798,John Giles,robertevans@example.com,2024-05-15,United Arab Emirates,Arkansas,Hospitality,PPC
CUST004103,Sean Johnson,millerchelsea@example.com,2024-08-18,DE,,Media,Paid-Search
CUST006917,Terrance Rubio,eric63@example.com,04-09-2023,CA ,Oklahoma,Media,DISPLAY
CUST004199,  Justin Cunningham  ,ladams@example.com,12/23/2025,england,Missouri,Real Estate,paid search
CUST005173,  Rebecca Cruz  ,erinwatson@example.net,2025-11-10,canada,Utah,Education,SOCIAL
CUST004770,Julian Hughes,harrisonjulie@example.org,2023-12-24,australia,North Carolina,Logistics,Email Marketing
CUST002670,Aaron Pennington,jameswilliams@example.net,2026-05-12,U.S.A,North Dakota,Retail,ORGANIC
CUST005863,Laura Casey,raymondjanet@example.com,2026-07-30,canada,Wyoming,Retail,Affiliate
CUST005490,Patricia Mckee,michelle58@example.net,2025-04-04, India,Utah,Healthcare,Banner
CUST006210,Tyler Davis,william49@example.com,2023-01-14,france,South Dakota,Hospitality,referral
CUST009791,Danny Carpenter,higginsdonna@example.com,2025-02-12,France,New York,Hospitality,social
CUST007205,Donna Little,shaungarcia@example.org,10-06-2023,singapore,Missouri,Hospitality,PAID SEARCH
CUST001819,Brianna Obrien,david68@example.com,2025-02-22,canada,Alabama,Media,Referal
CUST003352,Jason Vincent,toddcollins@example.org,2025-05-28,CA ,Virginia,Real Estate,AFFILIATE
CUST007166,Michael Meyer,moyerluis@example.org,2025-05-09,  IN  ,Nebraska,Education,PAID SEARCH
CUST003008,John Gutierrez,landryalexis@example.net,2025-07-19,Brazil,,Hospitality,PPC
CUST001516,Joanna Bradshaw,ricardosmith@example.com,11-07-2025,BR,Wisconsin,Real Estate,Referral
CUST001765,Tara Thompson,millerjimmy@example.net,14-12-2025,United Arab Emirates,Vermont,Manufacturing,Facebook Ads
CUST009167,Heather Prince,lucaskevin@example.org,2026-06-14,SG,Kentucky,Hospitality,PPC
CUST003100,Phillip Walker,christinemorgan@example.net,2025-06-24,INDIA,Maine,Healthcare,DISPLAY
CUST006692,Jeffrey Burnett,ysimpson@example.com,2023-05-25,germany,Arkansas,Healthcare,Paid-Search
CUST006730,Michelle Becker,sarah26@example.net,2026-05-14,FR,Connecticut,Finance,SOCIAL
CUST000703,  Jamie Snyder  ,davislisa@example.net,02-01-2024,singapore,Wisconsin,Technology,Paid-Search
CUST006150,Michael Gonzalez,fthompson@example.org,20-01-2026,USA,,Real Estate,Display
CUST007019,Meghan Walters,joshua48@example.com,09/25/2023,United Arab Emirates,,Hospitality,AFFILIATE
CUST006648,  Michael Phillips  ,jroberts@example.org,04/02/2026,France,Vermont,Healthcare,organic
CUST005095,Lynn Santos,pmartin@example.com,2024-12-23,canada,New Mexico,,Banner
CUST001030,Kenneth Collins,waynecohen@example.com,2025-10-05,U.A.E,Illinois,Retail,Organic
CUST007918,Ronald Baker,mossgary@example.org,2025-01-31,CA ,,Finance,email
CUST009724,  Vanessa Thompson  ,meltontiffany@example.net,2023-10-31,australia,Indiana,Education,Organic
CUST007176,Angela Martin,beardarthur@example.net,22 Mar 2024,FR,,Education,affiliate
CUST000200,Brian Murphy,kirk96@example.org,27 Dec 2023,DE,Vermont,Hospitality,EMAIL
CUST009904,  Terry Sexton  ,jamespeterson@example.com,2026-04-09,AUS,,Healthcare,Referal
CUST006497,Alejandra Riley,rhamilton@example.net,08-01-2026,UK,Oregon,,Paid Search
CUST003891,Kelsey Jones,tbyrd@example.com,2023-07-16,United Arab Emirates,Hawaii,Healthcare,ORGANIC
CUST009787,Christopher Rodriguez,sarajohnson@example.net,23-08-2025,US,Alabama,,paid search
CUST005182,Anna Villarreal,teresa94@example.org,2024-07-10,UK,Alabama,Real Estate,Social
CUST003255,  Christian Thomas  ,richarddiaz@example.net,,UAE,,Technology,Partner
CUST000714,Timothy Johnston,goodashley@example.net,04/03/2023,U.S.A,Mississippi,Logistics,Organic Search
CUST007524,Jamie Reilly,dandrade@example.net,19-08-2023,UK,Virginia,Finance,Affliate
CUST002175,Steven May,tonycraig@example.net,02/21/2025,Australia,Oklahoma,Healthcare,Referal
CUST003456,Lawrence Sanders,keith60@example.com,02/21/2025,Germany,Oklahoma,Hospitality,E-mail
CUST002783,Melissa Brown,whubbard@example.org,24-06-2024,DE,Ohio,Hospitality,EMAIL
CUST003369,Rachel Alvarez,ebarnes@example.com,07/03/2023,CA ,Alaska,Real Estate,display
CUST009806,Danielle Evans,,2023-08-10,UK,Maryland,Media,Display
CUST009589,Sabrina Williams,phillipsmichelle@example.net,2024-03-26,USA,Minnesota,Healthcare,  Affliate  
CUST004323,Michele Perry,youngsarah@example.com,2026-06-02,France,Pennsylvania,Education,organic
CUST001298,John Smith ,,09-01-2024,UAE,Oregon,,REFERRAL
CUST005699,Michael Ortiz,stanleylatasha@example.org,2023-08-21,canada,Alaska,Finance,PPC
CUST007843,RHONDA JONES,kylescott@example.net,2025-05-27,FR,Missouri,Healthcare,Banner
CUST004414,Brian Johnson,adambradley@example.org,16-05-2026,germany,,Finance,PPC
CUST006718,Victoria Young,monica98@example.net,2025-10-01,United Arab Emirates,Kentucky,Manufacturing,Google Ads
CUST002538,Kayla Black,caguilar@example.org,2026-01-23,   India  ,Oklahoma,Retail,  ORGANIC  
CUST003058,April Arellano,robertsdavid@example.net,02/17/2023,Canada,New Jersey,Education,Partner
CUST008316,John Cross,smurphy@example.org,2023-09-09,  CA   ,New Hampshire,Logistics,Referral
CUST001632,Angela Key,pmckenzie@example.net,2024-01-09,  United Kingdom  ,Georgia,Finance,Referral
CUST002246,James Meyers ,,2023-11-12,United Arab Emirates,South Carolina,Retail,social media
CUST002675,Melissa Powell PhD,elizabethwalls@example.com,2023-12-18,france,Iowa,Hospitality,organic
CUST008403,Christian Eaton,timothy84@example.net,2023-05-04,Brazil,Kansas,Hospitality,REFERRAL
CUST009964,Traci Webb,katrina17@example.net,,France,Wisconsin,Retail,Organic Search
CUST008744,Darlene Austin,bradleylisa@example.net,2023-03-10,UK,Tennessee,Education,Banner
CUST000369,  Wesley Cuevas  ,jessicapayne@example.org,12-05-2025,australia,Georgia,Healthcare,email
CUST005248,Nicholas Davis,rebecca42@example.net,28-05-2024,FR,Kentucky,Retail,Referral
CUST003299,  Rachel Travis  ,zachary18@example.net,2024-04-13,england,Ohio,,AFFILIATE
CUST002405,Lisa Hansen,cheryl54@example.com,2024-05-26,INDIA,Texas,Logistics,SEO
CUST007998,Steven Myers,hbutler@example.net,2025-10-11,France,,Manufacturing,Display
CUST003888,CODY ALLEN,darrenwilson@example.org,11 Jul 2024,  United Kingdom  ,Wyoming,Media,PPC
CUST003066,Taylor Owens,abigail56@example.com,2024-09-05,  AUS  ,,Technology,affiliate
CUST007420,Whitney Smith,oharrell@example.com,20 Nov 2023,Canada,,,referral
CUST007222,Mackenzie Johnston,christopher52@example.org,18-06-2025,UAE,Maryland,Logistics,Display Ads
CUST009049,Sara Freeman,tcastillo@example.com,03/25/2025,United Arab Emirates,Indiana,Healthcare,Display
CUST003708,Heather Burns ,,2025-07-18,U.A.E,Georgia,Finance,E-mail
CUST008735,Kayla Rodriguez,johnsonmichael@example.com,06/08/2024,India,Utah,Retail,Display Ads
CUST009642,Craig Anderson,russellgregory@example.net,12/16/2023,  Singapore  ,,Logistics,Paid Search
CUST001994,Lisa Wagner,victoria17@example.net,2025-10-26,USA,Nebraska,Media,Paid Search
CUST008081,Edward Clark,robertchavez@example.net,22-11-2024,DE,Tennessee,Manufacturing,organic
CUST004439,Jordan West,,21-11-2025, India,Vermont,Technology,Referral
CUST009611,Bruce Diaz,hullcynthia@example.com,09/17/2023,U.A.E,New Jersey,Finance,  Facebook Ads  
CUST007768,John Henderson,ryan09@example.net,03/30/2023,DE,Nevada,Education,Referral
CUST003784,Ashley Horn,angelmiller@example.org,,Canada,,Finance,Banner
CUST005893,Patricia Nguyen,onealjohn@example.net,11/14/2025,FR,Vermont,Education,Paid-Search
CUST009515,NANCY DUNLAP,juliaflores@example.org,24 Aug 2023,UK,,Education,PPC
,Mrs. Breanna Gordon,belinda28@example.com,05 Feb 2025,SG,Maine,Hospitality,Paid-Search
CUST007276,David Scott,robinsonthomas@example.org,07/16/2025,United Arab Emirates,Michigan,Real Estate,email
CUST007850,Matthew Hughes,,03/08/2023,CA ,West Virginia,Media,affiliate
CUST008595,Eric Ortiz DVM,doylemary@example.com,14-06-2023,india,North Carolina,Real Estate,Social
CUST000176,  Matthew Bates  ,brookehurley@example.com,01/08/2025,Canada,,Finance,email
CUST001746,Brenda Garcia,shelbyyoung@example.com,05-07-2023,U.S.A,Minnesota,Manufacturing,Display Ads
CUST007554,Juan Combs,devin05@example.org,,United Kingdom,Arkansas,Hospitality,Organic Search
CUST003980,Stephanie Delgado,tphillips@example.com,2023-07-06,United states,,Education,Display Ads
CUST009899,Daniel Hunt,gregorybishop@example.net,2023-06-09,CA ,New Hampshire,Education,Google Ads
CUST006548,Kimberly Hall,jennifermedina@example.org,30-12-2024,UAE,Texas,Logistics,  email  
CUST005366,Madison Bryant,bbrown@example.com,06-07-2023,UAE,Alaska,Technology,Display Ads
CUST005162,Angela Daniel,kelly20@example.com,2023-06-16,FR,Kentucky,Retail,SOCIAL
CUST005675,Sarah Edwards,kellimedina@example.com,2024-07-26,india,Massachusetts,Healthcare,Display Ads
CUST002892,Erica Hines,ddonovan@example.com,10/16/2025,australia,South Carolina,Education,  AFFILIATE  
CUST003860,Brian Woods,wardbrandy@example.net,04 Aug 2024,singapore,Maine,Education,SEO
CUST008454,Melissa Ortiz,millermatthew@example.org,2023-03-01,UAE,Georgia,Education,Google Ads
CUST002992,Veronica Adams,jonesvanessa@example.net,17-01-2025,DE,New Hampshire,Hospitality,Google Ads
CUST009709,Kimberly Everett,hsingleton@example.org,11-07-2023,  Germany  ,Texas,Technology,Facebook Ads
CUST006866,  SARAH BENNETT  ,emartinez@example.net,01/08/2025, India,,Education,SOCIAL
CUST000456,Kathleen Lynch,marie35@example.net,2023-03-15,singapore,Nebraska,Hospitality,social media
CUST007976,Patrick Murray,vdodson@example.net,2024-12-12,AUS,South Dakota,,Organic
CUST001673,Cathy Farmer,allenchristina@example.com,2023-08-08,Australia,West Virginia,Technology,organic
CUST000874,Jeffrey Green,rubiogeorge@example.net,12/27/2024,brazil,Delaware,Retail,PPC
CUST004066,Jocelyn Campbell,michelle63@example.net,2024-07-09,brazil,Maryland,Hospitality,Organic
CUST003551,  Steven Howell  ,ann63@example.net,2023-01-10,singapore,Wyoming,Manufacturing,Display
CUST009706,Nathaniel Nichols,lindarobertson@example.org,24-11-2025,FR,,Healthcare,Display
CUST007187,Kimberly Short,shannonmorton@example.org,2025-10-30,canada,Alaska,Media,Banner
CUST001721,Raymond Rocha,carrolljessica@example.com,17-04-2025,United Arab Emirates,New Hampshire,,referral
CUST002803,John Myers,grantalyssa@example.org,07/08/2023,US,Kansas,Healthcare,Email Marketing
CUST006246,  Michael Fowler  ,pwalker@example.com,2023-02-08,AUS,North Dakota,Media,PPC
CUST007058,Douglas Williams,saundersvictor@example.org,26-05-2026,IN,Kentucky,Media,AFFILIATE
CUST003901,Matthew Farrell,stewartpamela@example.com,07/22/2024,france,Alaska,Healthcare,PPC
CUST008114,Jennifer Hall,,2023-04-27,CA ,New York,Manufacturing,Affliate
CUST003658,Robert Bell,warnerangela@example.com,04/15/2025,United Arab Emirates,New York,Real Estate,Organic Search
CUST003035,Brendan Dalton,garciapenny@example.net,2025-07-15,Germany,Tennessee,Finance,Organic
CUST003479,Amanda Garcia,bentleysteve@example.net,2025-09-12,Germany,Louisiana,Logistics,DISPLAY
CUST008226,Timothy Norris,mmorris@example.org,19-01-2024,canada,Maine,Education,Referral
CUST004024,Jeffrey Keller,webbamanda@example.net,12/15/2023,FR,Maryland,,affiliate
CUST002331,Amanda Hall,fspears@example.net,2023-08-21,SG,North Carolina,,Google Ads
CUST000956,  Kim Rivers  ,kristin39@example.com,2025-05-24,FR,Colorado,Healthcare,email
CUST001136,Monica Castillo,sullivanchristina@example.net,2023-10-29,USA,Alabama,Real Estate,paid search
CUST009173,David Park,thomasprice@example.org,2026-05-11,singapore,Connecticut,Manufacturing,organic
CUST004590,Amy Garcia,rlee@example.org,,Canada,Delaware,Real Estate,Organic Search
CUST001082,Michael Cooper,lisa56@example.com,2024-10-31,Brazil,South Carolina,Logistics,DISPLAY
CUST003897,Christopher Hines,josephlloyd@example.net,2023-02-07,canada,Mississippi,Education,Banner
CUST008030,Jacob Walton,rossdavid@example.net,11/03/2024,france,,Technology,PAID SEARCH
CUST005832,Hayley Paul,adamsjohn@example.com,01-01-2025,AUS,Tennessee,Media,Instagram
CUST000248,Robert Rivera,twong@example.org,16-07-2025,UK,Alabama,Finance,SEO
CUST003900,Autumn Johnson,eileenmoyer@example.net,2024-07-09,canada,Washington,,Google Ads
CUST006791,RYAN ESPINOZA,,,canada,Alabama,Hospitality,affiliate
CUST008184,Annette Simmons,ashley97@example.org,2024-08-10,FR,North Carolina,Manufacturing,AFFILIATE
CUST001046,Christopher Perry,ochoamarcus@example.net,2023-10-14,U.A.E,Illinois,Real Estate,display
CUST000388,Christopher Flores,anthonycochran@example.com,2026-04-30,canada,Arkansas,Retail,Display Ads
CUST003651,Andrew Ward,armstrongjoshua@example.org,2023-12-11,SG,Missouri,Finance,display
CUST006349,  Lynn Anderson  ,kayla46@example.net,13-03-2025,AUS,Maryland,Logistics,PPC
CUST009599,Matthew Barnes,barkerjacob@example.org,2024-10-19,CA ,Delaware,Real Estate,social
CUST000232,Crystal Williams,ojackson@example.net,2023-03-18,United Arab Emirates,,Hospitality,Email Marketing
CUST007045,Elizabeth Johnson,adamsgregory@example.org,2024-08-01,DE,,Logistics,Referral
CUST004852,Benjamin Pierce,diazpamela@example.org,2024-06-27,Australia,North Dakota,Healthcare,Paid Search
CUST006489,Megan Perez,ejones@example.net,2024-01-09,england,Arizona,Retail,REFERRAL
CUST009272,Emily Wilson,,12/18/2023,United Kingdom,New Mexico,Retail,affiliate
CUST009863,Emily Diaz,washingtonjessica@example.com,11-05-2026,UK,,Healthcare,referral
CUST009840,Heather Howard,boothjuan@example.net,2026-05-12,  France  ,Indiana,Logistics,Display
CUST002231,Sara Garcia,qbecker@example.com,06 Aug 2023,FR,Iowa,Logistics,email
CUST007969,Michelle Berry,bnguyen@example.com,06/27/2023,USA,Wyoming,Retail,Organic Search
CUST006338,Matthew Soto,wesley71@example.net,2024-03-17,france,Illinois,Hospitality,Affliate
